"Set No","Set","Name","Country","Playing Role","IPL Matches","Capped / Uncapped /Associate","Reserve Price in Lakhs in INR","IPL 2018 Team","Auctioned Price in Lakhs in INR","IPL 2017 Team","IPL Team(s)"
"15","FA2","Jaydev Unadkat","","Bowler","47","Capped","150","Rajasthan Royals","1150","Rising Pune Supergiant","Kolkata Knight Riders, Delhi Daredevils, Royal Challengers Bangalore, Rising Pune Supergiant"
"15","FA2","Trent Boult","","Bowler","14","Capped","150","Delhi Daredevils","220","Kolkata Knight Riders","Sunrisers Hyderabad, Kolkata Knight Riders"
"15","FA2","Shardul Thakur","","Bowler","13","Capped","75","Chennai Super Kings","260","Rising Pune Supergiant","Kings XI Punjab, Rising Pune Supergiant"
"16","SP2","Mujeeb Zadran","","Bowler","","Capped","50","Kings XI Punjab","400","",""
"17","UBA2","Apoorv Wankhade","","Batsman","0","Uncapped","20","Kolkata Knight Riders","20","","Mumbai Indians"
"17","UBA2","Rinku Singh","","Batsman","0","Uncapped","20","Kolkata Knight Riders","80","Kings XI Punjab*","Kings XI Punjab"
"17","UBA2","Sachin Baby","","Batsman","18","Uncapped","20","Sunrisers Hyderabad","20","Royal Challengers Bangalore","Royal Challengers Bangalore, Rajasthan Royals"
"17","UBA2","Manjot Kalra","","Batsman","","Uncapped","20","Delhi Daredevils","20","",""
"18","UAL2","Ankit Sharma","","All-Rounder","21","Uncapped","20","Rajasthan Royals","20","Rising Pune Supergiant","Rising Pune Supergiant, Deccan Chargers, Rajasthan Royals, Sunrisers Hyderabad"
"18","UAL2","Shivam Mavi","","All-Rounder","","Uncapped","20","Kolkata Knight Riders","300","",""
"18","UAL2","Abhishek Sharma","","All-Rounder","","Uncapped","20","Delhi Daredevils","55","",""
"19","UFA2","Pradeep Sangwan","","Bowler","35","Uncapped","30","Mumbai Indians","150","Gujarat Lions","Gujarat Lions, Delhi Daredevils, Kolkata Knight Riders"
"19","UFA2","Anureet Singh","","Bowler","20","Uncapped","30","Rajasthan Royals","30","Kings XI Punjab","Kings XI Punjab, Kolkata Knight Riders"
"21","UWK2","Narayan Jagadeesan","","Wicketkeeper","","Uncapped","20","Chennai Super Kings","20","",""
"22","USP2","Zahir Khan Pakteen","","Bowler","","Uncapped","20","Rajasthan Royals","60","",""
"24","AL3","Jean-Paul Duminy","","All-Rounder","77","Capped","100","Mumbai Indians","100","","Delhi Daredevils, Deccan Chargers, Mumbai Indians"
"24","AL3","Chris Jordan","","All-Rounder","10","Capped","100","Sunrisers Hyderabad","100","Sunrisers Hyderabad","Royal Challengers Bangalore, Sunrisers Hyderabad"
"24","AL3","Mitchell Santner","","All-Rounder","","Capped","50","Chennai Super Kings","50","",""
"26","FA3","Jason Behrendorff","","Bowler","","Capped","100","Mumbai Indians","150","",""
"26","FA3","Barinder Sran","","Bowler","16","Capped","50","Kings XI Punjab","220","Sunrisers Hyderabad","Rajasthan Royals, Sunrisers Hyderabad"
"26","FA3","Billy Stanlake","","Bowler","2","Capped","50","Sunrisers Hyderabad","50","Royal Challengers Bangalore","Royal Challengers Bangalore"
"26","FA3","Andrew Tye","","Bowler","6","Capped","100","Kings XI Punjab","720","Gujarat Lions","Gujarat Lions, Chennai Super Kings"
"28","UBA3","Tanmay Agarwal","","Batsman","0","Uncapped","20","Sunrisers Hyderabad","20","Sunrisers Hyderabad*","Sunrisers Hyderabad"
"29","UAL3","Deepak Chahar","","All-Rounder","5","Uncapped","20","Chennai Super Kings","80","Rising Pune Supergiant","Rising Pune Supergiant"
"29","UAL3","Cameron Delport","","All-Rounder","","Uncapped","30","Kolkata Knight Riders","30","",""
"29","UAL3","Tajinder Singh","","All-Rounder","","Uncapped","20","Mumbai Indians","55","",""
"29","UAL3","Shreyas Gopal","","All-Rounder","6","Uncapped","20","Rajasthan Royals","20","","Mumbai Indians"
"29","UAL3","Akshdeep Nath","","All-Rounder","5","Uncapped","20","Kings XI Punjab","100","Gujarat Lions","Gujarat Lions"
"30","UWK3","Shreevats Goswami","","Wicketkeeper","23","Uncapped","20","Sunrisers Hyderabad","100","","Rajasthan Royals, Kolkata Knight Riders, Royal Challengers Bangalore"
"31","UFA3","Ben Dwarshuis","","Bowler","","Uncapped","20","Kings XI Punjab","140","",""
"31","UFA3","KM Asif","","Bowler","","Uncapped","20","Chennai Super Kings","40","",""
"32","USP3","Sandeep Lamichhane","","Bowler","","Associate","20","Delhi Daredevils","20","",""
"35","FA4","Lungisani Ngidi","","Bowler","","Capped","50","Chennai Super Kings","50","",""
"36","UBA4","Sharad Lumba","","Batsman","","Uncapped","20","Mumbai Indians","20","",""
"37","UAL4","Kanishk Seth","","All-Rounder","","Uncapped","20","Chennai Super Kings","20","",""
"37","UAL4","Dhruv Shorey","","All-Rounder","","Uncapped","20","Chennai Super Kings","20","",""
"57","UAL9","Aniruddha Joshi","","All-Rounder","","Uncapped","20","Royal Challengers Bangalore","20","",""
"58","UAL10","Sudhesan Midhun","","All-Rounder","","Uncapped","20","Rajasthan Royals","20","",""
"3","BA1","Murali Vijay","","Batsman","100","Capped","200","Chennai Super Kings","200","","Kings XI Punjab, Chennai Super Kings, Delhi Daredevils"
"5","WK1","Sam Billings","","Wicketkeeper","11","Capped","100","Chennai Super Kings","100","Delhi Daredevils","Delhi Daredevils"
"5","WK1","Naman Ojha","","Wicketkeeper","112","Capped","75","Delhi Daredevils","140","Sunrisers Hyderabad","Sunrisers Hyderabad, Delhi Daredevils, Rajasthan Royals"
"5","WK1","Parthiv Patel","","Wicketkeeper","119","Capped","100","Royal Challengers Bangalore","170","Mumbai Indians","Mumbai Indians, Chennai Super Kings, Deccan Chargers, Royal Challengers Bangalore, Kochi Tuskers Kerala, Sunrisers Hyderabad"
"6","FA1","Mitchell Johnson","","Bowler","48","Capped","200","Kolkata Knight Riders","200","Mumbai Indians","Kings XI Punjab, Mumbai Indians"
"6","FA1","Tim Southee","","Bowler","29","Capped","100","Royal Challengers Bangalore","100","Mumbai Indians","Mumbai Indians, Chennai Super Kings, Rajasthan Royals"
"8","UBA1","Siddhesh Lad","","Batsman","0","Uncapped","20","Mumbai Indians","20","Mumbai Indians*","Mumbai Indians"
"10","UWK1","Prashant Chopra","","Wicketkeeper","","Uncapped","20","Rajasthan Royals","20","",""
"10","UWK1","Aditya Tare","","Wicketkeeper","35","Uncapped","20","Mumbai Indians","20","Delhi Daredevils","Sunrisers Hyderabad, Delhi Daredevils, Mumbai Indians"
"18","UAL2","Bipul Sharma","","All-Rounder","33","Uncapped","20","Sunrisers Hyderabad","20","Sunrisers Hyderabad","Sunrisers Hyderabad, Kings XI Punjab"
"19","UFA2","Sayan Ghosh","","Bowler","0","Uncapped","20","Delhi Daredevils","20","Kolkata Knight Riders*","Kolkata Knight Riders"
"22","USP2","Mayank Markande","","Bowler","","Uncapped","20","Mumbai Indians","20","",""
"26","FA3","Ben Laughlin","","Bowler","2","Capped","50","Rajasthan Royals","50","Sunrisers Hyderabad*","Chennai Super Kings, Sunrisers Hyderabad"
"27","SP3","Akila Dananjaya","","Bowler","","Capped","50","Mumbai Indians","50","","Chennai Super Kings"
"32","USP3","Pardeep Sahu","","Bowler","5","Uncapped","20","Kings XI Punjab","20","Kings XI Punjab*","Kings XI Punjab, Rajasthan Royals"
"37","UAL4","Mayank Dagar","","All-Rounder","","Uncapped","20","Kings XI Punjab","20","",""
"37","UAL4","Anukul Roy","","All-Rounder","","Uncapped","20","Mumbai Indians","20","",""
"42","FA5","Mark Wood","","Bowler","","Capped","150","Chennai Super Kings","150","",""
"44","UAL5","Mahipal Lomror","","All-Rounder","","Uncapped","20","Rajasthan Royals","20","",""
"45","UFA5","Mohsin Khan","","Bowler","","Uncapped","20","Mumbai Indians","20","",""
"49","UAL6","Mehdi Hasan","","All-Rounder","","Uncapped","20","Sunrisers Hyderabad","20","",""
"49","UAL6","Kshitiz Sharma","","All-Rounder","","Uncapped","20","Chennai Super Kings","20","",""
"54","UFA7","Monu Kumar","","Bowler","","Uncapped","20","Chennai Super Kings","20","",""
"55","UAL8","Chaitanya Bishnoi","","All-Rounder","","Uncapped","20","Chennai Super Kings","20","",""
"59","UAL11","Jatin Saxena","","All-Rounder","","Uncapped","20","Rajasthan Royals","20","",""
"61","UAL13","Aryaman Birla","","All-Rounder","","Uncapped","20","Rajasthan Royals","30","",""
"61","UAL13","Pavan Deshpande","","All-Rounder","","Uncapped","20","Royal Challengers Bangalore","20","",""
"1","M1","Chris Gayle","","Batsman","101","Capped","200","Kings XI Punjab","200","Royal Challengers Bangalore","Royal Challengers Bangalore, Kolkata Knight Riders"
"47","FA6","Dushmantha Chameera","","Bowler","","Capped","50","Rajasthan Royals","50","",""
"50","UFA6","M. D. Nidheesh","","Bowler","","Uncapped","20","Mumbai Indians","20","",""
"57","UAL9","Manzoor Dar","","All-Rounder","","Uncapped","20","Kings XI Punjab","20","",""
"59","UAL11","Javon Searles","","All-Rounder","","Uncapped","30","Kolkata Knight Riders","30","",""
